delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
02/01/2021,23:00,N,HB_HOUSTON,20.55
02/01/2021,23:00,N,HB_HUBAVG,20.39
02/01/2021,23:00,N,HB_NORTH,20.4
02/01/2021,23:00,N,HB_PAN,-19
02/01/2021,23:00,N,HB_SOUTH,20.22
02/01/2021,23:00,N,HB_WEST,20.37
02/01/2021,23:00,N,LZ_AEN,20.32
02/01/2021,23:00,N,LZ_CPS,20.25
02/01/2021,23:00,N,LZ_HOUSTON,20.63
02/01/2021,23:00,N,LZ_LCRA,20.32
02/01/2021,23:00,N,LZ_NORTH,20.42
02/01/2021,23:00,N,LZ_RAYBN,20.65
02/01/2021,23:00,N,LZ_SOUTH,20.55
02/01/2021,23:00,N,LZ_WEST,20.67
02/01/2021,24:00,N,HB_BUSAVG,18.5
02/01/2021,24:00,N,HB_HOUSTON,18.58
02/01/2021,24:00,N,HB_HUBAVG,18.5
02/01/2021,24:00,N,HB_NORTH,18.51
02/01/2021,24:00,N,HB_PAN,-21.23
02/01/2021,24:00,N,HB_SOUTH,18.42
02/01/2021,24:00,N,HB_WEST,18.49
02/01/2021,24:00,N,LZ_AEN,18.47
02/01/2021,24:00,N,LZ_CPS,18.44
02/01/2021,24:00,N,LZ_HOUSTON,18.62
02/01/2021,24:00,N,LZ_LCRA,18.48
02/01/2021,24:00,N,LZ_NORTH,18.53
02/01/2021,24:00,N,LZ_RAYBN,18.9
02/01/2021,24:00,N,LZ_SOUTH,18.54
02/01/2021,24:00,N,LZ_WEST,18.79
02/02/2021,01:00,N,HB_BUSAVG,17.8
02/02/2021,01:00,N,HB_HOUSTON,17.85
02/02/2021,01:00,N,HB_HUBAVG,17.8
02/02/2021,01:00,N,HB_NORTH,17.79
02/02/2021,01:00,N,HB_PAN,-25.89
02/02/2021,01:00,N,HB_SOUTH,17.8
02/02/2021,01:00,N,HB_WEST,17.75
02/02/2021,01:00,N,LZ_AEN,17.82
02/02/2021,01:00,N,LZ_CPS,17.91
02/02/2021,01:00,N,LZ_HOUSTON,17.85
02/02/2021,01:00,N,LZ_LCRA,17.91
02/02/2021,01:00,N,LZ_NORTH,17.84
02/02/2021,01:00,N,LZ_RAYBN,18.65
02/02/2021,01:00,N,LZ_SOUTH,18.06
02/02/2021,01:00,N,LZ_WEST,17.85
02/02/2021,02:00,N,HB_BUSAVG,17.33
02/02/2021,02:00,N,HB_HOUSTON,17.39
02/02/2021,02:00,N,HB_HUBAVG,17.33
02/02/2021,02:00,N,HB_NORTH,17.31
02/02/2021,02:00,N,HB_PAN,-25.58
02/02/2021,02:00,N,HB_SOUTH,17.38
02/02/2021,02:00,N,HB_WEST,17.23
02/02/2021,02:00,N,LZ_AEN,17.37
02/02/2021,02:00,N,LZ_CPS,17.47
02/02/2021,02:00,N,LZ_HOUSTON,17.4
02/02/2021,02:00,N,LZ_LCRA,17.47
02/02/2021,02:00,N,LZ_NORTH,17.35
02/02/2021,02:00,N,LZ_RAYBN,18.23
02/02/2021,02:00,N,LZ_SOUTH,17.66
02/02/2021,02:00,N,LZ_WEST,17.31
02/02/2021,03:00,N,HB_BUSAVG,17.28
02/02/2021,03:00,N,HB_HOUSTON,17.39
02/02/2021,03:00,N,HB_HUBAVG,17.28
02/02/2021,03:00,N,HB_NORTH,17.22
02/02/2021,03:00,N,HB_PAN,-25.06
02/02/2021,03:00,N,HB_SOUTH,17.47
02/02/2021,03:00,N,HB_WEST,17.04
02/02/2021,03:00,N,LZ_AEN,17.39
02/02/2021,03:00,N,LZ_CPS,17.58
02/02/2021,03:00,N,LZ_HOUSTON,17.4
02/02/2021,03:00,N,LZ_LCRA,17.5
02/02/2021,03:00,N,LZ_NORTH,17.27
02/02/2021,03:00,N,LZ_RAYBN,18.34
02/02/2021,03:00,N,LZ_SOUTH,17.81
02/02/2021,03:00,N,LZ_WEST,17.04
02/02/2021,04:00,N,HB_BUSAVG,17.66
02/02/2021,04:00,N,HB_HOUSTON,17.77
02/02/2021,04:00,N,HB_HUBAVG,17.66
02/02/2021,04:00,N,HB_NORTH,17.6
02/02/2021,04:00,N,HB_PAN,-24.91
02/02/2021,04:00,N,HB_SOUTH,17.87
02/02/2021,04:00,N,HB_WEST,17.41
02/02/2021,04:00,N,LZ_AEN,17.84
02/02/2021,04:00,N,LZ_CPS,17.93
02/02/2021,04:00,N,LZ_HOUSTON,17.78
02/02/2021,04:00,N,LZ_LCRA,18.01
02/02/2021,04:00,N,LZ_NORTH,17.66
02/02/2021,04:00,N,LZ_RAYBN,18.92
02/02/2021,04:00,N,LZ_SOUTH,18.2
02/02/2021,04:00,N,LZ_WEST,17.35
02/02/2021,05:00,N,HB_BUSAVG,17.8
02/02/2021,05:00,N,HB_HOUSTON,17.95
02/02/2021,05:00,N,HB_HUBAVG,17.8
02/02/2021,05:00,N,HB_NORTH,17.69
02/02/2021,05:00,N,HB_PAN,-21.01
02/02/2021,05:00,N,HB_SOUTH,18.17
02/02/2021,05:00,N,HB_WEST,17.39
02/02/2021,05:00,N,LZ_AEN,18.03
02/02/2021,05:00,N,LZ_CPS,18.24
02/02/2021,05:00,N,LZ_HOUSTON,17.96
02/02/2021,05:00,N,LZ_LCRA,18.49
02/02/2021,05:00,N,LZ_NORTH,17.77
02/02/2021,05:00,N,LZ_RAYBN,19.02
02/02/2021,05:00,N,LZ_SOUTH,18.55
02/02/2021,05:00,N,LZ_WEST,17.3
02/02/2021,06:00,N,HB_BUSAVG,19.24
02/02/2021,06:00,N,HB_HOUSTON,19.46
02/02/2021,06:00,N,HB_HUBAVG,19.25
02/02/2021,06:00,N,HB_NORTH,19.1
02/02/2021,06:00,N,HB_PAN,-22.24
02/02/2021,06:00,N,HB_SOUTH,19.72
02/02/2021,06:00,N,HB_WEST,18.7
02/02/2021,06:00,N,LZ_AEN,19.84
02/02/2021,06:00,N,LZ_CPS,19.8
02/02/2021,06:00,N,LZ_HOUSTON,19.48
02/02/2021,06:00,N,LZ_LCRA,19.34
02/02/2021,06:00,N,LZ_NORTH,19.28
02/02/2021,06:00,N,LZ_RAYBN,22.48
02/02/2021,06:00,N,LZ_SOUTH,20.52
02/02/2021,06:00,N,LZ_WEST,18.54
02/02/2021,07:00,N,HB_BUSAVG,37.04
02/02/2021,07:00,N,HB_HOUSTON,37.44
02/02/2021,07:00,N,HB_HUBAVG,37.06
02/02/2021,07:00,N,HB_NORTH,36.78
02/02/2021,07:00,N,HB_PAN,-10.02
02/02/2021,07:00,N,HB_SOUTH,37.83
02/02/2021,07:00,N,HB_WEST,36.18
02/02/2021,07:00,N,LZ_AEN,37.99
02/02/2021,07:00,N,LZ_CPS,38.19
02/02/2021,07:00,N,LZ_HOUSTON,37.53
02/02/2021,07:00,N,LZ_LCRA,38.36
02/02/2021,07:00,N,LZ_NORTH,37.18
02/02/2021,07:00,N,LZ_RAYBN,41.79
02/02/2021,07:00,N,LZ_SOUTH,38.85
02/02/2021,07:00,N,LZ_WEST,35.88
02/02/2021,08:00,N,HB_BUSAVG,34.01
02/02/2021,08:00,N,HB_HOUSTON,34.56
02/02/2021,08:00,N,HB_HUBAVG,34
02/02/2021,08:00,N,HB_NORTH,33.77
02/02/2021,08:00,N,HB_PAN,-11.87
02/02/2021,08:00,N,HB_SOUTH,35.02
02/02/2021,08:00,N,HB_WEST,32.64
02/02/2021,08:00,N,LZ_AEN,35.67
02/02/2021,08:00,N,LZ_CPS,36.17
02/02/2021,08:00,N,LZ_HOUSTON,34.65
02/02/2021,08:00,N,LZ_LCRA,35.48
02/02/2021,08:00,N,LZ_NORTH,34.27
02/02/2021,08:00,N,LZ_RAYBN,38.78
02/02/2021,08:00,N,LZ_SOUTH,36.42
02/02/2021,08:00,N,LZ_WEST,32.23
02/02/2021,09:00,N,HB_BUSAVG,22.53
02/02/2021,09:00,N,HB_HOUSTON,23.21
02/02/2021,09:00,N,HB_HUBAVG,22.53
02/02/2021,09:00,N,HB_NORTH,22.17
02/02/2021,09:00,N,HB_PAN,-7.07
02/02/2021,09:00,N,HB_SOUTH,23.88
02/02/2021,09:00,N,HB_WEST,20.86
02/02/2021,09:00,N,LZ_AEN,23.99
02/02/2021,09:00,N,LZ_CPS,25.45
02/02/2021,09:00,N,LZ_HOUSTON,23.31
02/02/2021,09:00,N,LZ_LCRA,23.75
02/02/2021,09:00,N,LZ_NORTH,22.58
02/02/2021,09:00,N,LZ_RAYBN,24.99
02/02/2021,09:00,N,LZ_SOUTH,25.74
02/02/2021,09:00,N,LZ_WEST,20.24
02/02/2021,10:00,N,HB_BUSAVG,19.64
02/02/2021,10:00,N,HB_HOUSTON,20.54
02/02/2021,10:00,N,HB_HUBAVG,19.62
02/02/2021,10:00,N,HB_NORTH,19.2
02/02/2021,10:00,N,HB_PAN,10.06
02/02/2021,10:00,N,HB_SOUTH,21.32
02/02/2021,10:00,N,HB_WEST,17.43
02/02/2021,10:00,N,LZ_AEN,20.63
02/02/2021,10:00,N,LZ_CPS,23.65
02/02/2021,10:00,N,LZ_HOUSTON,20.7
02/02/2021,10:00,N,LZ_LCRA,20
02/02/2021,10:00,N,LZ_NORTH,19.45
02/02/2021,10:00,N,LZ_RAYBN,20.98
02/02/2021,10:00,N,LZ_SOUTH,24.9
02/02/2021,10:00,N,LZ_WEST,16.42
02/02/2021,11:00,N,HB_BUSAVG,18.98
02/02/2021,11:00,N,HB_HOUSTON,19.86
02/02/2021,11:00,N,HB_HUBAVG,18.98
